,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,time,id
1001,6.757159248565149,7.411607726119101,0.5602596246980763,0.7206416639079892,141.52979058618925,86.59681583416095,2015,7,西藏自治区,2015下半年,1
1002,42.49916340601354,58.81922728992433,17.565391980286737,15.326917283950621,632.2438620071686,53.27924256272402,2015,7,重庆市,2015下半年,1
997,31.618051343970702,48.346801963253576,14.190462033462033,10.778880435735275,554.0056461991945,54.01588161202677,2015,7,贵州省,2015下半年,1
1006,50.73765066797002,78.7283244908765,18.289677260508313,27.811775733137832,829.8276800260672,65.96325857363962,2015,7,江苏省,2015下半年,1
991,30.498302107436142,43.23707111292591,10.930467381244044,16.28006592486729,761.9152148269135,55.9074029581235,2015,7,广东省,2015下半年,1
999,36.072373196303616,50.396804130397676,15.101468726989005,13.92776708848414,768.3885889839808,51.46394098944237,2015,7,江西省,2015下半年,1
1004,48.23252980685721,69.14056363880843,13.337848371225647,16.72565546429658,819.4009509449933,60.78709949212396,2015,7,湖北省,2015下半年,1
1016,26.261748254413018,31.024545228123255,1.887302931957586,2.3854677733631697,243.82335062347488,67.289141436864,2015,7,新疆维吾尔自治区,2015下半年,1
996,23.982394701515577,35.045476813257615,9.85837377001866,13.118604439343292,623.814368464151,49.81162484394506,2015,7,福建省,2015下半年,1
1021,38.9605648926583,51.306469540222785,12.010544358439398,15.102899814410167,592.7349583760273,57.798691992889154,2015,7,吉林省,2015下半年,1
1009,46.53585595878136,61.46103390083632,14.851333930704902,37.530597371565115,771.2060185185186,66.85664516129033,2015,7,上海市,2015下半年,1
992,22.688875711512832,31.60185386292065,8.711493151523984,6.126524640785024,466.28244234501943,53.227054216485776,2015,7,云南省,2015下半年,1
1013,69.71426164607868,111.36760409732888,29.263591456519887,35.43634511808755,1218.2854742703532,59.938284210189465,2015,7,山东省,2015下半年,1
1014,33.56882752064828,57.27809569892474,19.275023468910707,16.606650015583607,660.12621162537,61.879561337073405,2015,7,宁夏回族自治区,2015下半年,1
1018,69.16572873586988,102.49318689688447,19.303651674937964,40.24516035980149,1310.2950441135924,47.96970068238213,2015,7,天津市,2015下半年,1
1017,20.479404398070983,27.359582113723988,8.058897553513614,6.162719461547977,330.4119774338273,59.42398218157907,2015,7,内蒙古自治区,2015下半年,1
1022,24.701292202353127,32.09654383619683,6.631836845326217,8.532957831736013,441.57606747701743,54.407149552295984,2015,7,黑龙江省,2015下半年,1
